date,game_id,home_team,away_team,actual_total,market_line,over_pred_residual,over_pred_total,over_edge,under_prob,bet_direction,bet_result,profit_units,conflict_flag,train_samples,over_model_trees,under_model_trees
2025-02-22,0022400808,DEN,LAL,223,240.66666666666666,-0.6653298779648502,240.00133678870182,-0.6653298779648367,0.4412386813620675,,,,False,828,0,0
2025-02-22,0022400809,UTA,HOU,239,228.66666666666666,-4.404176985316737,224.26248968134993,-4.404176985316724,0.6085484109434862,UNDER,LOSS,-1.0,False,828,0,0
2025-02-22,0022400810,POR,CHA,229,222.0,-3.1691675844031737,218.83083241559683,-3.1691675844031693,0.4746564756975906,,,,False,828,0,0
2025-02-23,0022400817,MIL,MIA,233,221.5,11.678903105135106,233.1789031051351,11.678903105135106,0.1517974191981146,,,,False,833,0,0
2025-02-23,0022400815,ORL,WAS,200,216.33333333333334,-15.67157460276271,200.66175873057063,-15.671574602762718,0.726734074856386,,,,False,833,0,0
2025-02-23,0022400811,BOS,NYK,223,231.5,-1.340499182853012,230.15950081714698,-1.3404991828530228,0.3449065769791678,,,,False,833,0,0
2025-02-23,0022400813,IND,LAC,240,230.5,-6.479495785312835,224.02050421468715,-6.479495785312849,0.43392366001683386,,,,False,833,0,0
2025-02-23,0022400814,ATL,DET,291,237.33333333333334,-0.012927417563682686,237.32040591576967,-0.012927417563673771,0.6235355037609939,,,,False,833,0,0
2025-02-23,0022400818,NOP,SAS,210,239.5,11.568894728975243,251.06889472897524,11.568894728975238,0.21879764127009316,,,,False,833,0,0
2025-02-23,0022400816,TOR,PHX,236,227.5,-2.5645283976910673,224.93547160230892,-2.5645283976910775,0.6524744493589277,,,,False,833,0,0
2025-02-23,0022400819,CLE,MEM,252,249.5,-6.977205872906453,242.52279412709353,-6.977205872906467,0.2898894338579087,,,,False,833,0,0
2025-02-23,0022400820,MIN,OKC,253,228.83333333333334,-7.612222567042227,221.2211107662911,-7.612222567042238,0.359110823137783,,,,False,833,0,0
2025-02-23,0022400812,GSW,DAL,228,228.5,2.2195938435900135,230.71959384359002,2.219593843590019,0.20967793915722016,,,,False,833,0,0
2025-02-24,0022400823,PHI,CHI,252,232.0,-2.8319369242853667,229.16806307571463,-2.8319369242853725,0.4950524460168557,,,,False,843,0,0
2025-02-24,0022400821,DET,LAC,203,224.0,8.571916385951779,232.57191638595177,8.571916385951766,0.4121617421684825,,,,False,843,0,0
2025-02-24,0022400822,IND,DEN,241,246.33333333333334,8.489317312888526,254.82265064622186,8.489317312888517,0.4850235976105953,,,,False,843,0,0
2025-02-24,0022400824,WAS,BKN,206,214.16666666666666,8.625967413652917,222.79263408031957,8.625967413652916,0.6052000246927527,,,,False,843,0,0
2025-02-24,0022400828,SAC,CHA,218,231.16666666666666,3.5928410547400818,234.75950772140675,3.5928410547400915,0.4478771265350442,,,,False,843,0,0
