date,game_id,home_team,away_team,actual_total,market_line,pred_model,pred_matchup,pred_blended,edge,bet_direction,profit,result,edge_bucket,train_samples
2025-10-27,0022500121,GSW,MEM,249,238.83333333333334,227.5418077109019,240.06606656270264,236.3087889071624,-2.5245444261709338,,,,,1267
2025-10-27,0022500117,NOP,BOS,212,232.5,224.37053920905717,224.70796332824827,224.60673609249093,-7.893263907509066,UNDER,100.0,WIN,6.0-8.0,1267
2025-10-27,0022500118,SAS,TOR,224,233.16666666666666,228.79887190229266,235.17793630044207,233.26421698099722,0.0975503143305616,,,,,1267
2025-10-27,0022500120,UTA,PHX,272,233.5,224.75539833866728,245.5006917970179,239.2771037595127,5.777103759512698,OVER,100.0,WIN,5.0-6.0,1267
2025-10-27,0022500122,LAL,POR,230,225.83333333333334,226.95717419434243,231.19250561417562,229.92190618822565,4.0885728548923055,OVER,100.0,WIN,4.0-5.0,1267
2025-10-27,0022500119,DAL,OKC,195,226.5,224.70523093918735,236.79000576951145,233.1645733204142,6.664573320414206,OVER,-110.0,LOSS,6.0-8.0,1267
2025-10-28,0022500126,OKC,SAC,208,227.16666666666666,231.7544010800983,238.91208408880385,236.76477918619216,9.5981125195255,,,,,1278
2025-10-28,0022500124,MIA,CHA,261,240.5,229.39348330780103,240.32875298882539,237.04817208451806,-3.4518279154819425,,,,,1278
2025-10-28,0022500125,MIL,NYK,232,228.5,232.80987674639496,235.00255592276272,234.34475216985237,5.84475216985237,OVER,100.0,WIN,5.0-6.0,1278
2025-10-28,0022500127,GSW,LAC,177,223.83333333333334,233.92489862664922,236.36925876262166,235.6359507218299,11.802617388496543,,,,,1278
2025-10-28,0022500123,WAS,PHI,273,237.83333333333334,224.8927718792374,231.08363379133792,229.22637521770775,-8.606958115625588,,,,,1278
2025-10-29,0022500128,BOS,CLE,230,233.5,231.19119932798597,222.24838544693827,224.93122961125255,-8.568770388747453,,,,,1283
2025-10-29,0022500129,DET,ORL,251,226.16666666666666,226.97375976925412,229.1372112888414,228.4881758329652,2.32150916629854,,,,,1283
2025-10-29,0022500131,TOR,HOU,260,232.5,229.83298682034274,239.89206206716904,236.87433949312114,4.374339493121141,OVER,100.0,WIN,4.0-5.0,1283
2025-10-29,0022500132,CHI,SAC,239,237.5,229.77006107470672,233.86691127875434,232.63785621754005,-4.8621437824599525,UNDER,-110.0,LOSS,4.0-5.0,1283
