side,threshold,n_bets,n_wins,win_rate,total_profit,roi,total_profit_fair,roi_fair,avg_edge,median_edge,fold,phase,model,train_start,train_end,test_start,test_end,train_n,test_n
NO,0.55,13,5,0.38461538461538464,-22.6,-17.384615384615383,-18.913880955205165,-14.549139196311668,0.25596108157030467,0.2482720058282118,3,Phase 2: Modern ML,catboost,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
NO,0.6,11,4,0.36363636363636365,-24.699999999999996,-22.454545454545453,-21.76271816450749,-19.784289240461355,0.2646024200941958,0.2482720058282118,3,Phase 2: Modern ML,catboost,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
NO,0.65,9,4,0.4444444444444444,-4.6999999999999975,-5.22222222222222,-1.7627181645074934,-1.9585757383416593,0.28119197849458816,0.2739330794259438,3,Phase 2: Modern ML,catboost,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.5,69,40,0.5797101449275363,-23.40000000000001,-3.3913043478260887,-0.16902961926956017,-0.02449704627095075,0.038929521241228345,0.03653714706736755,4,Phase 1: Baseline,logistic,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
YES,0.55,68,40,0.5882352941176471,-13.400000000000016,-1.9705882352941202,9.830970380730436,1.4457309383427113,0.041118424320764735,0.03771856610344587,4,Phase 1: Baseline,logistic,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
YES,0.6,53,33,0.6226415094339622,14.499999999999993,2.7358490566037723,33.242112336158215,6.272096667199663,0.053144398178512305,0.05130333514807994,4,Phase 1: Baseline,logistic,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
YES,0.65,9,7,0.7777777777777778,12.899999999999999,14.333333333333332,16.372891658329074,18.19210184258786,0.024597874550849077,0.035888914572210995,4,Phase 1: Baseline,logistic,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
NO,0.5,0,0,0.0,0.0,0.0,0.0,0.0,,,4,Phase 1: Baseline,logistic,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
NO,0.55,0,0,0.0,0.0,0.0,0.0,0.0,,,4,Phase 1: Baseline,logistic,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
NO,0.6,0,0,0.0,0.0,0.0,0.0,0.0,,,4,Phase 1: Baseline,logistic,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
NO,0.65,0,0,0.0,0.0,0.0,0.0,0.0,,,4,Phase 1: Baseline,logistic,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
YES,0.5,36,27,0.75,79.0,21.944444444444443,94.16978372667167,26.158273257408798,0.021063358760697325,0.012929272304201544,4,Phase 1: Baseline,poisson,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
YES,0.55,26,21,0.8076923076923077,80.60000000000001,31.000000000000007,92.44418996048472,35.55545767710951,0.0703621642412453,0.07456387848177443,4,Phase 1: Baseline,poisson,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
YES,0.6,19,14,0.7368421052631579,37.8,19.894736842105264,45.706003905826954,24.05579152938261,0.10946195988749731,0.11177206749529778,4,Phase 1: Baseline,poisson,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
YES,0.65,14,10,0.7142857142857143,19.9,14.214285714285712,25.361154989308993,18.115110706649283,0.13057610090325636,0.12812980649552602,4,Phase 1: Baseline,poisson,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
NO,0.5,33,20,0.6060606060606061,108.7,32.93939393939394,123.99429924433213,37.57403007404004,0.23168665394870797,0.2093872475975337,4,Phase 1: Baseline,poisson,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
NO,0.55,26,17,0.6538461538461539,101.2,38.92307692307693,113.82021141740285,43.777004391308786,0.25833107124411625,0.2355328589978813,4,Phase 1: Baseline,poisson,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
NO,0.6,19,14,0.7368421052631579,105.39999999999998,55.47368421052631,115.76960708466886,60.93137214982571,0.30130630181119017,0.313514381103842,4,Phase 1: Baseline,poisson,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
NO,0.65,17,13,0.7647058823529411,99.6,58.58823529411764,109.12444579434629,64.19085046726252,0.307101705947062,0.3165731162955068,4,Phase 1: Baseline,poisson,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
YES,0.5,68,40,0.5882352941176471,-13.40000000000001,-1.970588235294119,9.830970380730436,1.4457309383427113,0.015313139868541959,0.012791189823167237,4,Phase 1: Baseline,random_forest,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
YES,0.55,53,31,0.5849056603773585,-10.500000000000004,-1.9811320754716988,7.707538203809019,1.4542524912847206,0.0317477516576595,0.027776521491574724,4,Phase 1: Baseline,random_forest,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
YES,0.6,32,19,0.59375,-9.500000000000002,-2.9687500000000004,1.1511617860488528,0.3597380581402665,0.04361869141197868,0.041024364017031245,4,Phase 1: Baseline,random_forest,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
YES,0.65,10,9,0.9,35.2,35.2,39.69319046884208,39.69319046884208,0.0374115829440481,0.04418492523348461,4,Phase 1: Baseline,random_forest,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
NO,0.5,1,1,1.0,8.600000000000001,86.00000000000001,9.207920792079207,92.07920792079207,-0.007558890388295159,-0.007558890388295159,4,Phase 1: Baseline,random_forest,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
NO,0.55,0,0,0.0,0.0,0.0,0.0,0.0,,,4,Phase 1: Baseline,random_forest,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
NO,0.6,0,0,0.0,0.0,0.0,0.0,0.0,,,4,Phase 1: Baseline,random_forest,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
