date,home,away,home_score,away_score,btts,total_goals,season
2021-02-13,15.00  Torino FC,Genoa CFC,0,0,0,0,2020-21
2021-02-13,18.00  SSC Napoli,(1-0)  Juventus FC,1,0,0,1,2020-21
2021-02-14,12.30  AS Roma,(2-0)  Udinese Calcio,3,0,0,3,2020-21
2021-02-14,15.00  UC Sampdoria,(1-1)  ACF Fiorentina,2,1,1,3,2020-21
2021-02-14,Cagliari Calcio,(0-0)  Atalanta BC,0,1,0,1,2020-21
2021-02-14,18.00  FC Crotone,(1-1)  US Sassuolo Calcio,1,2,1,3,2020-21
2021-02-14,20.45  FC Internazionale Milano,(2-0)  SS Lazio,3,1,1,4,2020-21
2021-02-15,20.50  Hellas Verona FC,(1-1)  Parma Calcio 1913,2,1,1,3,2020-21
2021-02-19,18.30  ACF Fiorentina,(0-0)  Spezia Calcio,3,0,0,3,2020-21
2021-02-19,20.45  Cagliari Calcio,(0-0)  Torino FC,0,1,0,1,2020-21
2021-02-20,20.45  US Sassuolo Calcio,(0-1)  Bologna FC 1909,1,1,1,2,2020-21
2021-02-20,15.00  SS Lazio,(1-0)  UC Sampdoria,1,0,0,1,2020-21
2021-02-20,18.00  Genoa CFC,(0-1)  Hellas Verona FC,2,2,1,4,2020-21
2021-02-21,12.30  Parma Calcio 1913,(2-0)  Udinese Calcio,2,2,1,4,2020-21
2021-02-21,15.00  AC Milan,(0-1)  FC Internazionale Milano,0,3,0,3,2020-21
2021-02-21,18.00  Atalanta BC,(0-0)  SSC Napoli,4,2,1,6,2020-21
2021-02-21,20.50  Benevento Calcio,AS Roma,0,0,0,0,2020-21
2021-02-22,20.45  Juventus FC,(2-0)  FC Crotone,3,0,0,3,2020-21
2021-02-27,18.00  Bologna FC 1909,(1-0)  SS Lazio,2,0,0,2,2020-21
2021-02-27,15.00  Spezia Calcio,(0-2)  Parma Calcio 1913,2,2,1,4,2020-21
2021-02-27,20.45  Hellas Verona FC,(0-0)  Juventus FC,1,1,1,2,2020-21
2021-02-28,18.00  SSC Napoli,(1-0)  Benevento Calcio,2,0,0,2,2020-21
2021-02-28,20.45  AS Roma,(0-1)  AC Milan,1,2,1,3,2020-21
2021-02-28,FC Crotone,(0-0)  Cagliari Calcio,0,2,0,2,2020-21
2021-02-28,Udinese Calcio,(0-0)  ACF Fiorentina,1,0,0,1,2020-21
2021-02-28,15.00  FC Internazionale Milano,(1-0)  Genoa CFC,3,0,0,3,2020-21
2021-02-28,12.30  UC Sampdoria,(0-1)  Atalanta BC,0,2,0,2,2020-21
2021-03-02,20.45  Juventus FC,(0-0)  Spezia Calcio,3,0,0,3,2020-21
2021-03-03,18.30  US Sassuolo Calcio,(2-1)  SSC Napoli,3,3,1,6,2020-21
2021-03-03,20.45  ACF Fiorentina,(0-0)  AS Roma,1,2,1,3,2020-21
2021-03-03,AC Milan,(0-0)  Udinese Calcio,1,1,1,2,2020-21
2021-03-03,Atalanta BC,(1-1)  FC Crotone,5,1,1,6,2020-21
2021-03-03,Cagliari Calcio,(1-0)  Bologna FC 1909,1,0,0,1,2020-21
2021-03-03,Genoa CFC,(0-0)  UC Sampdoria,1,1,1,2,2020-21
2021-03-03,Benevento Calcio,(0-2)  Hellas Verona FC,0,3,0,3,2020-21
2021-03-04,20.45  Parma Calcio 1913,(0-0)  FC Internazionale Milano,1,2,1,3,2020-21
2021-03-06,15.00  Spezia Calcio,(0-1)  Benevento Calcio,1,1,1,2,2020-21
2021-03-06,18.00  Udinese Calcio,(1-0)  US Sassuolo Calcio,2,0,0,2,2020-21
2021-03-06,20.45  Juventus FC,(1-1)  SS Lazio,3,1,1,4,2020-21
2021-03-07,12.30  AS Roma,(1-0)  Genoa CFC,1,0,0,1,2020-21
2021-03-07,15.00  ACF Fiorentina,(2-1)  Parma Calcio 1913,3,3,1,6,2020-21
2021-03-07,Hellas Verona FC,(0-1)  AC Milan,0,2,0,2,2020-21
2021-03-07,FC Crotone,(1-1)  Torino FC,4,2,1,6,2020-21
2021-03-07,18.00  UC Sampdoria,(0-1)  Cagliari Calcio,2,2,1,4,2020-21
2021-03-07,20.50  SSC Napoli,(1-0)  Bologna FC 1909,3,1,1,4,2020-21
2021-03-08,20.45  FC Internazionale Milano,(0-0)  Atalanta BC,1,0,0,1,2020-21
2021-03-12,20.45  Atalanta BC,(0-0)  Spezia Calcio,3,1,1,4,2020-21
2021-03-12,15.00  SS Lazio,(2-1)  FC Crotone,3,2,1,5,2020-21
2021-03-13,15.00  US Sassuolo Calcio,(1-1)  Hellas Verona FC,3,2,1,5,2020-21
2021-03-13,18.00  Benevento Calcio,(0-3)  ACF Fiorentina,1,4,1,5,2020-21
2021-03-13,20.45  Genoa CFC,(1-1)  Udinese Calcio,1,1,1,2,2020-21
2021-03-14,12.30  Bologna FC 1909,(2-1)  UC Sampdoria,3,1,1,4,2020-21
2021-03-14,15.00  Parma Calcio 1913,(1-0)  AS Roma,2,0,0,2,2020-21
2021-03-14,Torino FC,(0-0)  FC Internazionale Milano,1,2,1,3,2020-21
2021-03-14,18.00  Cagliari Calcio,(0-3)  Juventus FC,1,3,1,4,2020-21
2021-03-14,20.45  AC Milan,(0-0)  SSC Napoli,0,1,0,1,2020-21
2021-03-17,15.05  Torino FC,(0-2)  US Sassuolo Calcio,3,2,1,5,2020-21
2021-03-19,20.45  Parma Calcio 1913,(1-0)  Genoa CFC,1,2,1,3,2020-21
2021-03-20,18.00  Spezia Calcio,(0-0)  Cagliari Calcio,2,1,1,3,2020-21
2021-03-20,15.00  FC Crotone,(2-0)  Bologna FC 1909,2,3,1,5,2020-21
2021-03-21,12.30  Hellas Verona FC,(0-2)  Atalanta BC,0,2,0,2,2020-21
2021-03-21,15.00  Juventus FC,(0-0)  Benevento Calcio,0,1,0,1,2020-21
2021-03-21,Udinese Calcio,(0-1)  SS Lazio,0,1,0,1,2020-21
2021-03-21,UC Sampdoria,(1-0)  Torino FC,1,0,0,1,2020-21
2021-03-21,18.00  ACF Fiorentina,(1-1)  AC Milan,2,3,1,5,2020-21
2021-03-21,20.45  AS Roma,(0-2)  SSC Napoli,0,2,0,2,2020-21
2021-04-03,Benevento Calcio,(1-0)  Parma Calcio 1913,2,2,1,4,2020-21
2021-04-03,US Sassuolo Calcio,(0-1)  AS Roma,2,2,1,4,2020-21
2021-04-03,20.45  Bologna FC 1909,(0-1)  FC Internazionale Milano,0,1,0,1,2020-21
2021-04-03,18.00  Torino FC,(1-1)  Juventus FC,2,2,1,4,2020-21
2021-04-03,Cagliari Calcio,(0-0)  Hellas Verona FC,0,2,0,2,2020-21
2021-04-03,SS Lazio,(0-0)  Spezia Calcio,2,1,1,3,2020-21
2021-04-03,Atalanta BC,(2-1)  Udinese Calcio,3,2,1,5,2020-21
2021-04-03,12.30  AC Milan,(0-0)  UC Sampdoria,1,1,1,2,2020-21
2021-04-03,Genoa CFC,(1-1)  ACF Fiorentina,1,1,1,2,2020-21
2021-04-03,15.00  SSC Napoli,(3-1)  FC Crotone,4,3,1,7,2020-21
2021-04-07,18.45  FC Internazionale Milano,(1-0)  US Sassuolo Calcio,2,1,1,3,2020-21
2021-04-07,18.45  Juventus FC,(1-0)  SSC Napoli,2,1,1,3,2020-21
2021-04-10,15.00  Spezia Calcio,(0-1)  FC Crotone,3,2,1,5,2020-21
2021-04-10,18.00  Parma Calcio 1913,(0-2)  AC Milan,1,3,1,4,2020-21
2021-04-10,20.45  Udinese Calcio,(0-0)  Torino FC,0,1,0,1,2020-21
2021-04-11,20.45  ACF Fiorentina,(0-2)  Atalanta BC,2,3,1,5,2020-21
2021-04-11,18.00  AS Roma,(1-0)  Bologna FC 1909,1,0,0,1,2020-21
2021-04-11,15.05  Hellas Verona FC,(0-0)  SS Lazio,0,1,0,1,2020-21
2021-04-11,15.00  Juventus FC,(2-0)  Genoa CFC,3,1,1,4,2020-21
2021-04-11,12.30  FC Internazionale Milano,(0-0)  Cagliari Calcio,1,0,0,1,2020-21
2021-04-11,UC Sampdoria,(0-1)  SSC Napoli,0,2,0,2,2020-21
2021-04-12,20.45  Benevento Calcio,(0-1)  US Sassuolo Calcio,0,1,0,1,2020-21
2021-04-17,15.00  UC Sampdoria,(0-1)  Hellas Verona FC,3,1,1,4,2020-21
2021-04-17,FC Crotone,(0-1)  Udinese Calcio,1,2,1,3,2020-21
